"","title","cluster","subcluster","item","amount"
"87","Table_PTF","florence","high ticket","n.loans",21
"88","Table_PTF","florence","high ticket","gbv.original",489500.498
"89","Table_PTF","florence","high ticket","gbv.residual",491499.378
"90","Table_PTF","florence","high ticket","principal",368624.5335
"91","Table_PTF","florence","small ticket","n",241
"92","Table_PTF","florence","small ticket","n.loans",398
"93","Table_PTF","florence","small ticket","gbv.original",2287896.931
"94","Table_PTF","florence","small ticket","gbv.residual",2209391.091
"95","Table_PTF","florence","small ticket","principal",1657043.31825
"96","Table_PTF","solimano","2020","n",7
"97","Table_PTF","solimano","2020","n.loans",13
"98","Table_PTF","solimano","2020","gbv.original",316308.06
"99","Table_PTF","solimano","2020","gbv.residual",328250.61
"100","Table_PTF","solimano","2020","principal",246187.9575
"101","Table_PTF","solimano","2021","n",14
"102","Table_PTF","solimano","2021","n.loans",23
"103","Table_PTF","solimano","2021","gbv.original",81167.34
"104","Table_PTF","solimano","2021","gbv.residual",82207.52
"105","Table_PTF","solimano","2021","principal",61655.64
"106","Table_PTF","solimano","2022","n",21
"107","Table_PTF","solimano","2022","n.loans",36
"108","Table_PTF","solimano","2022","gbv.original",321559.7
"109","Table_PTF","solimano","2022","gbv.residual",321772.41
"110","Table_PTF","solimano","2022","principal",241329.3075
"111","Table_PTF","solimano","2023","n",1
"112","Table_PTF","solimano","2023","n.loans",1
"113","Table_PTF","solimano","2023","gbv.original",5387.04
"114","Table_PTF","solimano","2023","gbv.residual",4387.04
"115","Table_PTF","solimano","2023","principal",3290.28
"116","Table_PTF",NA,NA,"n",2033
"117","Table_PTF",NA,NA,"n.loans",3412
"118","Table_PTF",NA,NA,"gbv.original",45024523.16
"119","Table_PTF",NA,NA,"gbv.residual",46644357.542
"120","Table_PTF",NA,NA,"principal",34983268.1565
"121","Status_GBV","utp","corporate","n",3
"122","Status_GBV","utp","corporate","n.loans",8
"123","Status_GBV","utp","corporate","gbv.original",230957.9
"124","Status_GBV","utp","corporate","gbv.residual",243412.09
"125","Status_GBV","utp","corporate","principal",182559.0675
"126","Status_GBV","utp","individual","n",33
"127","Status_GBV","utp","individual","n.loans",47
"128","Status_GBV","utp","individual","gbv.original",125157.11
"129","Status_GBV","utp","individual","gbv.residual",121691.02
"130","Status_GBV","utp","individual","principal",91268.265
"131","Status_GBV","bad","corporate","n",20
"132","Status_GBV","bad","corporate","n.loans",35
"133","Status_GBV","bad","corporate","gbv.original",1142774.64
"134","Status_GBV","bad","corporate","gbv.residual",1282354.03
"135","Status_GBV","bad","corporate","principal",961765.5225
"136","Status_GBV","bad","individual","n",342
